cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review
DD,77,2026-03-14 19:53:21 UTC,0,386,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0
DD,78,2026-03-14 20:46:11 UTC,0,334,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0
DD,79,2026-03-14 20:46:21 UTC,0,161,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,80,2026-03-14 20:55:11 UTC,0,279,0,0,0,0,0,0,0,,1
DD,81,2026-03-14 21:20:54 UTC,0,81,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,82,2026-03-14 21:29:11 UTC,0,150,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,83,2026-03-15 00:27:55 UTC,0,371,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,84,2026-03-14 21:36:36 UTC,0,98,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0
DD,85,2026-03-14 21:39:21 UTC,0,333,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0
DD,86,2026-03-14 21:50:09 UTC,0,232,0,0,0,0,0,0,0,,1
DD,87,2026-03-14 22:10:08 UTC,0,131,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,88,2026-03-14 22:22:47 UTC,0,189,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,89,2026-03-14 22:24:27 UTC,0,211,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,91,2026-03-15 22:14:13 UTC,0,291,0,1,1,1,0,0,3,T2_clarity_pace;T3_visual_immersion;T4_affect_stigma,0
DD,92,2026-03-14 22:43:51 UTC,0,311,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,93,2026-03-16 08:51:17 UTC,0,208,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,94,2026-03-19 17:17:30 UTC,0,106,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,95,2026-03-14 22:53:37 UTC,0,217,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
DD,96,2026-03-14 23:13:17 UTC,0,145,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,97,2026-03-14 23:13:01 UTC,0,119,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,98,2026-03-14 23:11:11 UTC,0,198,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,99,2026-03-14 23:30:24 UTC,0,208,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,100,2026-03-14 23:50:16 UTC,0,308,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,101,2026-03-15 00:17:28 UTC,0,152,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,102,2026-03-15 00:46:35 UTC,0,409,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,103,2026-03-15 01:24:34 UTC,0,247,0,1,0,1,1,0,3,T2_clarity_pace;T4_affect_stigma;T5_concepts_prior,0
DD,104,2026-03-15 01:16:48 UTC,0,155,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,105,2026-03-15 01:43:18 UTC,0,197,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,106,2026-03-15 02:11:57 UTC,0,244,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,107,2026-03-16 05:59:21 UTC,0,130,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,108,2026-03-15 02:11:50 UTC,0,244,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,109,2026-03-15 02:10:45 UTC,0,177,1,1,1,0,0,0,3,T1_everyday_coffee;T2_clarity_pace;T3_visual_immersion,0
DD,110,2026-03-15 03:01:08 UTC,0,199,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,111,2026-03-15 02:58:20 UTC,0,324,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,112,2026-03-15 02:23:33 UTC,0,259,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,113,2026-03-15 02:26:37 UTC,0,108,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,114,2026-03-15 06:16:45 UTC,0,265,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,115,2026-03-15 03:19:12 UTC,0,78,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0
DD,116,2026-03-17 15:35:48 UTC,0,23,0,0,0,0,0,0,0,,1
DD,117,2026-03-15 03:41:28 UTC,0,107,0,0,0,0,0,1,1,T6_limits_friction,0
DD,118,2026-03-15 03:53:03 UTC,0,388,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
DD,119,2026-03-15 03:58:12 UTC,0,204,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,120,2026-03-15 04:24:11 UTC,0,97,0,1,0,0,0,0,1,T2_clarity_pace,0
DD,121,2026-03-15 04:30:38 UTC,0,324,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
DD,122,2026-03-15 04:40:13 UTC,0,159,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,123,2026-03-15 04:56:40 UTC,0,49,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,124,2026-03-15 05:58:23 UTC,0,116,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,125,2026-03-15 06:16:38 UTC,0,79,0,0,0,0,0,0,0,,1
DD,126,2026-03-15 06:29:49 UTC,0,292,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,127,2026-03-15 07:09:20 UTC,0,97,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,128,2026-03-15 06:44:17 UTC,0,81,0,1,0,0,0,0,1,T2_clarity_pace,0
DD,129,2026-03-15 06:57:30 UTC,0,382,1,0,0,1,1,0,3,T1_everyday_coffee;T4_affect_stigma;T5_concepts_prior,0
DD,130,2026-03-17 07:36:43 UTC,0,214,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,131,2026-03-15 10:25:46 UTC,0,38,0,1,0,0,0,0,1,T2_clarity_pace,0
DD,132,2026-03-15 16:11:48 UTC,0,275,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0
DD,133,2026-03-15 17:25:58 UTC,0,22,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,134,2026-03-15 17:55:35 UTC,0,285,1,0,0,1,0,0,2,T1_everyday_coffee;T4_affect_stigma,0
DD,135,2026-03-15 18:41:44 UTC,0,158,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,136,2026-03-15 18:59:11 UTC,0,220,1,0,0,0,0,1,2,T1_everyday_coffee;T6_limits_friction,0
DD,137,2026-03-15 19:38:04 UTC,0,139,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,138,2026-03-15 20:24:26 UTC,0,89,0,0,0,0,0,0,0,,1
DD,139,2026-03-15 20:46:31 UTC,0,97,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,140,2026-03-15 21:38:49 UTC,0,74,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,141,2026-03-15 22:01:41 UTC,0,118,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,142,2026-03-15 22:35:13 UTC,0,111,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,143,2026-03-15 22:41:17 UTC,0,285,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,144,2026-03-15 22:57:02 UTC,0,176,0,0,0,0,0,0,0,,1
DD,145,2026-03-15 23:06:40 UTC,0,151,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,146,2026-03-15 23:16:28 UTC,0,138,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,147,2026-03-16 00:17:29 UTC,0,115,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,148,2026-03-16 01:26:04 UTC,0,391,0,0,0,0,1,1,2,T5_concepts_prior;T6_limits_friction,0
DD,149,2026-03-16 01:55:41 UTC,0,56,1,0,0,0,0,0,1,T1_everyday_coffee,0
